index,KTH Library,South-East Gallery,North Gallery,South Gallery,Ångdomen,Newton,Day of Year,Day of Week,Days Until Exam,Event,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,day,opening_hour,closing_hour,is_open
2025-01-03 05:00:00,,,,,,,3,5,4,Holyday,-5.5999999999997225,0.0,13.300000000000278,258.0,Friday,10,14,1
2025-01-03 05:10:00,,,,,,,3,5,4,Holyday,-5.566666666666944,0.0,12.883333333333335,255.0,Friday,10,14,1
2025-01-03 05:20:00,,,,,,,3,5,4,Holyday,-5.53333333333361,0.0,12.466666666666667,252.0,Friday,10,14,1
2025-01-03 05:30:00,,,,,,,3,5,4,Holyday,-5.500000000000277,0.0,12.05,249.0,Friday,10,14,1
2025-01-03 05:40:00,,,,,,,3,5,4,Holyday,-5.466666666666944,0.0,11.633333333333335,246.0,Friday,10,14,1
2025-01-03 05:50:00,,,,,,,3,5,4,Holyday,-5.433333333333611,0.0,11.216666666666667,243.0,Friday,10,14,1
2025-01-03 06:00:00,,,,,,,3,5,4,Holyday,-5.4000000000002775,0.0,10.8,240.0,Friday,10,14,1
2025-01-03 06:10:00,,,,,,,3,5,4,Holyday,-5.499999999999723,0.0,10.8,235.83333333333334,Friday,10,14,1
2025-01-03 06:20:00,,,,,,,3,5,4,Holyday,-5.5999999999997225,0.0,10.8,231.66666666666666,Friday,10,14,1
2025-01-03 06:30:00,,,,,,,3,5,4,Holyday,-5.699999999999722,0.0,10.8,227.5,Friday,10,14,1
2025-01-03 06:40:00,,,,,,,3,5,4,Holyday,-5.799999999999723,0.0,10.8,223.33333333333334,Friday,10,14,1
2025-01-03 06:50:00,,,,,,,3,5,4,Holyday,-5.899999999999722,0.0,10.8,219.16666666666666,Friday,10,14,1
2025-01-03 07:00:00,,,,,,,3,5,4,Holyday,-5.999999999999723,0.0,10.8,215.0,Friday,10,14,1
2025-01-03 07:10:00,,,,,,,3,5,4,Holyday,-6.016666666666389,0.0,10.86666666666639,213.0,Friday,10,14,1
2025-01-03 07:20:00,,,,,,,3,5,4,Holyday,-6.033333333333055,0.0,10.933333333333056,211.0,Friday,10,14,1
2025-01-03 07:30:00,,,,,,,3,5,4,Holyday,-6.049999999999722,0.0,10.999999999999723,209.0,Friday,10,14,1
2025-01-03 07:40:00,,,,,,,3,5,4,Holyday,-6.066666666666389,0.0,11.06666666666639,207.0,Friday,10,14,1
2025-01-03 07:50:00,,,,,,,3,5,4,Holyday,-6.083333333333056,0.0,11.133333333333056,205.0,Friday,10,14,1
2025-01-03 08:00:00,,,,,,,3,5,4,Holyday,-6.0999999999997225,0.0,11.199999999999722,203.0,Friday,10,14,1
2025-01-03 08:10:00,,,,,,,3,5,4,Holyday,-6.133333333333333,0.0,11.066666666666944,202.83333333333334,Friday,10,14,1
2025-01-03 08:20:00,,,,,,,3,5,4,Holyday,-6.166666666666666,0.0,10.93333333333361,202.66666666666666,Friday,10,14,1
2025-01-03 08:30:00,,,,,,,3,5,4,Holyday,-6.199999999999999,0.0,10.800000000000278,202.5,Friday,10,14,1
2025-01-03 08:40:00,,,,,,,3,5,4,Holyday,-6.233333333333333,0.0,10.666666666666943,202.33333333333334,Friday,10,14,1
2025-01-03 08:50:00,,,,,,,3,5,4,Holyday,-6.266666666666667,0.0,10.53333333333361,202.16666666666666,Friday,10,14,1
2025-01-03 09:00:00,,,,,,,3,5,4,Holyday,-6.3,0.0,10.400000000000277,202.0,Friday,10,14,1
2025-01-03 09:10:00,,,,,,,3,5,4,Holyday,-6.216666666666667,0.0,9.983333333333334,197.83333333333334,Friday,10,14,1
2025-01-03 09:20:00,,,,,,,3,5,4,Holyday,-6.133333333333333,0.0,9.566666666666666,193.66666666666666,Friday,10,14,1
2025-01-03 09:30:00,,,,,,,3,5,4,Holyday,-6.05,0.0,9.15,189.5,Friday,10,14,1
2025-01-03 09:40:00,,,,,,,3,5,4,Holyday,-5.966666666666667,0.0,8.733333333333334,185.33333333333334,Friday,10,14,1
2025-01-03 09:50:00,,,,,,,3,5,4,Holyday,-5.883333333333333,0.0,8.316666666666666,181.16666666666666,Friday,10,14,1
2025-01-03 10:00:00,,,,,,,3,5,4,Holyday,-5.8,0.0,7.9,177.0,Friday,10,14,1
2025-01-03 10:10:00,,,,,,,3,5,4,Holyday,-5.6500000000002775,0.0,6.7666666666666675,165.83333333333334,Friday,10,14,1
2025-01-03 10:20:00,,,,,,,3,5,4,Holyday,-5.500000000000278,0.0,5.633333333333334,154.66666666666666,Friday,10,14,1
2025-01-03 10:30:00,,,,,,,3,5,4,Holyday,-5.350000000000278,0.0,4.5,143.5,Friday,10,14,1
2025-01-03 10:40:00,,,,,,,3,5,4,Holyday,-5.200000000000277,0.0,3.366666666666667,132.33333333333334,Friday,10,14,1
2025-01-03 10:50:00,,,,,,,3,5,4,Holyday,-5.050000000000278,0.0,2.2333333333333334,121.16666666666666,Friday,10,14,1
2025-01-03 11:00:00,,,,,,,3,5,4,Holyday,-4.9000000000002775,0.0,1.1000000000000005,110.0,Friday,10,14,1
2025-01-03 11:10:00,,,,,,,3,5,4,Holyday,-4.766666666666667,0.0,2.2333333333333334,102.83333333333333,Friday,10,14,1
2025-01-03 11:20:00,,,,,,,3,5,4,Holyday,-4.633333333333334,0.0,3.3666666666666667,95.66666666666667,Friday,10,14,1
2025-01-03 11:30:00,,,,,,,3,5,4,Holyday,-4.5,0.0,4.5,88.5,Friday,10,14,1
2025-01-03 11:40:00,,,,,,,3,5,4,Holyday,-4.366666666666667,0.0,5.633333333333333,81.33333333333333,Friday,10,14,1
2025-01-03 11:50:00,,,,,,,3,5,4,Holyday,-4.233333333333333,0.0,6.7666666666666675,74.16666666666666,Friday,10,14,1
2025-01-03 12:00:00,,,,,,,3,5,4,Holyday,-4.1000000000000005,0.0,7.9,67.0,Friday,10,14,1
2025-01-03 12:10:00,,,,,,,3,5,4,Holyday,-4.016666666666944,0.0,8.499999999999723,65.33333333333333,Friday,10,14,1
2025-01-03 12:20:00,,,,,,,3,5,4,Holyday,-3.9333333333336107,0.0,9.099999999999723,63.666666666666664,Friday,10,14,1
2025-01-03 12:30:00,,,,,,,3,5,4,Holyday,-3.8500000000002776,0.0,9.699999999999722,62.0,Friday,10,14,1
2025-01-03 12:40:00,,,,,,,3,5,4,Holyday,-3.766666666666944,0.0,10.299999999999724,60.333333333333336,Friday,10,14,1
2025-01-03 12:50:00,,,,,,,3,5,4,Holyday,-3.6833333333336107,0.0,10.899999999999723,58.666666666666664,Friday,10,14,1
2025-01-03 13:00:00,,,,,,,3,5,4,Holyday,-3.6000000000002776,0.0,11.499999999999723,57.0,Friday,10,14,1
2025-01-03 13:10:00,,,,,,,3,5,4,Holyday,-3.5833333333333335,0.0,11.983333333333333,52.5,Friday,10,14,1
2025-01-03 13:20:00,,,,,,,3,5,4,Holyday,-3.566666666666667,0.0,12.466666666666667,48.0,Friday,10,14,1
2025-01-03 13:30:00,,,,,,,3,5,4,Holyday,-3.5500000000000003,0.0,12.95,43.5,Friday,10,14,1
2025-01-03 13:40:00,,,,,,,3,5,4,Holyday,-3.533333333333333,0.0,13.433333333333334,39.0,Friday,10,14,1
2025-01-03 13:50:00,,,,,,,3,5,4,Holyday,-3.5166666666666666,0.0,13.916666666666666,34.5,Friday,10,14,1
2025-01-03 14:00:00,,,,,,,3,5,4,Holyday,-3.5,0.0,14.4,30.0,Friday,10,14,1
2025-01-03 14:10:00,,,,,,,3,5,4,Holyday,-3.599999999999722,0.0,14.766666666666667,26.666666666666668,Friday,10,14,1
2025-01-03 14:20:00,,,,,,,3,5,4,Holyday,-3.699999999999722,0.0,15.133333333333333,23.333333333333332,Friday,10,14,1
2025-01-03 14:30:00,,,,,,,3,5,4,Holyday,-3.7999999999997223,0.0,15.5,20.0,Friday,10,14,1
2025-01-03 14:40:00,,,,,,,3,5,4,Holyday,-3.8999999999997224,0.0,15.866666666666667,16.666666666666664,Friday,10,14,1
2025-01-03 14:50:00,,,,,,,3,5,4,Holyday,-3.999999999999722,0.0,16.233333333333334,13.333333333333332,Friday,10,14,1
2025-01-03 15:00:00,,,,,,,3,5,4,Holyday,-4.0999999999997225,0.0,16.6,10.0,Friday,10,14,1
2025-01-03 15:10:00,,,,,,,3,5,4,Holyday,-4.166666666666666,0.0,17.549999999999724,10.0,Friday,10,14,1
2025-01-03 15:20:00,,,,,,,3,5,4,Holyday,-4.233333333333333,0.0,18.499999999999723,10.0,Friday,10,14,1
2025-01-03 15:30:00,,,,,,,3,5,4,Holyday,-4.3,0.0,19.449999999999722,10.0,Friday,10,14,1
2025-01-03 15:40:00,,,,,,,3,5,4,Holyday,-4.366666666666666,0.0,20.399999999999725,10.0,Friday,10,14,1
2025-01-03 15:50:00,,,,,,,3,5,4,Holyday,-4.433333333333333,0.0,21.349999999999724,10.0,Friday,10,14,1
2025-01-03 16:00:00,,,,,,,3,5,4,Holyday,-4.5,0.0,22.299999999999724,10.0,Friday,10,14,1
2025-01-03 16:10:00,,,,,,,3,5,4,Holyday,-4.583333333333333,0.0,21.816666666666666,9.833333333333334,Friday,10,14,1
2025-01-03 16:20:00,,,,,,,3,5,4,Holyday,-4.666666666666667,0.0,21.333333333333336,9.666666666666666,Friday,10,14,1
2025-01-03 16:30:00,,,,,,,3,5,4,Holyday,-4.75,0.0,20.85,9.5,Friday,10,14,1
2025-01-03 16:40:00,,,,,,,3,5,4,Holyday,-4.833333333333333,0.0,20.366666666666667,9.333333333333334,Friday,10,14,1
2025-01-03 16:50:00,,,,,,,3,5,4,Holyday,-4.916666666666667,0.0,19.883333333333333,9.166666666666666,Friday,10,14,1
2025-01-03 17:00:00,,,,,,,3,5,4,Holyday,-5.0,0.0,19.400000000000002,9.0,Friday,10,14,1
2025-01-03 17:10:00,,,,,,,3,5,4,Holyday,-5.083333333333333,0.0,19.883333333333333,66.33333333333334,Friday,10,14,1
2025-01-03 17:20:00,,,,,,,3,5,4,Holyday,-5.166666666666667,0.0,20.366666666666664,123.66666666666667,Friday,10,14,1
2025-01-03 17:30:00,,,,,,,3,5,4,Holyday,-5.25,0.0,20.849999999999998,181.0,Friday,10,14,1
